cusip;year;inva;dt_75;dt_76;dt_77;dt_78;dt_79;dt_80;dt_81;dt_82;dt_83;dt_84;dt_85;dt_86;dt_87;vala;debta;cfa;sales
1030;74;0.105;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1479;0.52394;0.10339;1.579159771
1030;75;0.04006;1;0;0;0;0;0;0;0;0;0;0;0;0;0.07581;0.613;0.07936;2.151802153
1030;76;0.09213;0;1;0;0;0;0;0;0;0;0;0;0;0;0.18772;0.56631;0.08975;1.844563818
1030;77;0.13567;0;0;1;0;0;0;0;0;0;0;0;0;0;0.25272;0.47173;0.12865;1.767508514
1030;78;0.16206;0;0;0;1;0;0;0;0;0;0;0;0;0;0.29121;0.56782;0.14637;1.899039965
1030;79;0.17429;0;0;0;0;1;0;0;0;0;0;0;0;0;0.28166;0.58567;0.18761;1.877699338
1030;80;0.14632;0;0;0;0;0;1;0;0;0;0;0;0;0;0.36118;0.514;0.0349;1.306149689
1030;81;0.17356;0;0;0;0;0;0;1;0;0;0;0;0;0;0.44336;0.54543;0.03209;1.042897244
1030;82;0.06026;0;0;0;0;0;0;0;1;0;0;0;0;0;0.33447;0.60154;-0.02193;0.969292047
1030;83;0.07199;0;0;0;0;0;0;0;0;1;0;0;0;0;0.96448;0.14933;0.10148;1.29812808
1030;84;0.10428;0;0;0;0;0;0;0;0;0;1;0;0;0;1.64754;0.14047;0.21969;1.997684903
1030;85;0.19188;0;0;0;0;0;0;0;0;0;0;1;0;0;1.96695;0.24566;0.17552;2.10676774
1030;86;0.15774;0;0;0;0;0;0;0;0;0;0;0;1;0;1.4058;0.28885;0.22521;2.354428988
1030;87;0.17749;0;0;0;0;0;0;0;0;0;0;0;0;1;1.05714;0.22954;0.20558;2.24718894
1723;74;0.10103;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3735;0.3172;0.09633;1.569953537
1723;75;0.08098;1;0;0;0;0;0;0;0;0;0;0;0;0;0.12736;0.3006;0.04428;1.558283385
1723;76;0.0654;0;1;0;0;0;0;0;0;0;0;0;0;0;0.16537;0.28036;0.08036;1.748113318
1723;77;0.08839;0;0;1;0;0;0;0;0;0;0;0;0;0;0.24537;0.2809;0.10102;1.793276608
1723;78;0.09016;0;0;0;1;0;0;0;0;0;0;0;0;0;0.31631;0.28839;0.09006;1.722778439
1723;79;0.07387;0;0;0;0;1;0;0;0;0;0;0;0;0;0.59782;0.23842;0.17937;1.955186762
1723;80;0.05716;0;0;0;0;0;1;0;0;0;0;0;0;0;0.31229;0.24034;0.1079;1.747502457
1723;81;0.08139;0;0;0;0;0;0;1;0;0;0;0;0;0;0.32927;0.23869;0.07727;1.816267131
1723;82;0.07892;0;0;0;0;0;0;0;1;0;0;0;0;0;0.40209;0.3402;-0.04523;2.05039813
1723;83;0.0549;0;0;0;0;0;0;0;0;1;0;0;0;0;0.04255;0.03906;-0.05735;2.26591799
1723;84;0.07442;0;0;0;0;0;0;0;0;0;1;0;0;0;0.2529;0.05839;0.12299;2.396369984
1723;85;0.0746;0;0;0;0;0;0;0;0;0;0;1;0;0;0.13006;0.05586;0.18171;2.895073405
1723;86;0.01524;0;0;0;0;0;0;0;0;0;0;0;1;0;0.7946;0.1531;0.19803;3.015967111
1723;87;0.03948;0;0;0;0;0;0;0;0;0;0;0;0;1;0.47727;0.58933;0.0592;1.001788943
2824;74;0.08225;0;0;0;0;0;0;0;0;0;0;0;0;0;1.36721;0.23586;0.28018;1.258269744
2824;75;0.06632;1;0;0;0;0;0;0;0;0;0;0;0;0;1.18013;0.43712;0.26985;1.306521857
2824;76;0.05699;0;1;0;0;0;0;0;0;0;0;0;0;0;1.42374;0.3488;0.24275;1.191616864
2824;77;0.05634;0;0;1;0;0;0;0;0;0;0;0;0;0;1.51339;0.26318;0.2565;1.158840738
2824;78;0.06169;0;0;0;1;0;0;0;0;0;0;0;0;0;1.47271;0.18656;0.25682;1.097173476
2824;79;0.06947;0;0;0;0;1;0;0;0;0;0;0;0;0;1.48296;0.15794;0.25501;1.059405253
2824;80;0.08297;0;0;0;0;0;1;0;0;0;0;0;0;0;1.57122;0.15301;0.25483;1.066539599
2824;81;0.09545;0;0;0;0;0;0;1;0;0;0;0;0;0;1.78122;0.1088;0.24071;1.040345573
2824;82;0.09832;0;0;0;0;0;0;0;1;0;0;0;0;0;1.53253;0.11089;0.26039;1.085409625
2824;83;0.11555;0;0;0;0;0;0;0;0;1;0;0;0;0;1.89338;0.09031;0.27391;1.041432654
2824;84;0.12575;0;0;0;0;0;0;0;0;0;1;0;0;0;2.03524;0.24747;0.32414;1.084929261
2824;85;0.11131;0;0;0;0;0;0;0;0;0;0;1;0;0;1.88534;0.24725;0.37454;1.165831488
2824;86;0.14205;0;0;0;0;0;0;0;0;0;0;0;1;0;3.11929;0.23771;0.42403;1.277045569
2824;87;0.1481;0;0;0;0;0;0;0;0;0;0;0;0;1;3.86845;0.14761;0.508;1.410774225
4446;74;0.02086;0;0;0;0;0;0;0;0;0;0;0;0;0;0.40936;0.40114;0.16218;3.115750277
4446;75;0.03167;1;0;0;0;0;0;0;0;0;0;0;0;0;0.385;0.32942;0.32459;3.430624289
4446;76;0.01606;0;1;0;0;0;0;0;0;0;0;0;0;0;0.89436;0.26219;0.51452;4.899308067
4446;77;0.03109;0;0;1;0;0;0;0;0;0;0;0;0;0;0.67654;0.16231;0.35577;3.376806837
4446;78;0.03267;0;0;0;1;0;0;0;0;0;0;0;0;0;0.96574;0.37414;0.29254;3.411492155
4446;79;0.01977;0;0;0;0;1;0;0;0;0;0;0;0;0;0.65947;0.31703;0.27865;3.515145129
4446;80;0.02549;0;0;0;0;0;1;0;0;0;0;0;0;0;0.64638;0.37092;0.25638;3.443022785
4446;81;0.02649;0;0;0;0;0;0;1;0;0;0;0;0;0;0.62493;0.32886;0.24668;3.555607466
4446;82;0.01544;0;0;0;0;0;0;0;1;0;0;0;0;0;0.6561;0.32856;0.23082;3.654660099
4446;83;0.0141;0;0;0;0;0;0;0;0;1;0;0;0;0;0.76308;0.33524;0.25397;4.125171066
4446;84;0.06491;0;0;0;0;0;0;0;0;0;1;0;0;0;1.77378;0.30766;0.2773;4.00244683
4446;85;0.01808;0;0;0;0;0;0;0;0;0;0;1;0;0;1.4039;0.24667;0.35534;4.155438
4446;86;0.01865;0;0;0;0;0;0;0;0;0;0;0;1;0;2.09779;0.22892;0.38608;4.163717404
4446;87;0.02256;0;0;0;0;0;0;0;0;0;0;0;0;1;2.73552;0.17177;0.37735;4.562901983
4626;74;0.03847;0;0;0;0;0;0;0;0;0;0;0;0;0;0.57038;0.12204;0.16574;1.354705836
4626;75;0.05036;1;0;0;0;0;0;0;0;0;0;0;0;0;0.22307;0.43075;0.08738;1.092267969
4626;76;0.05713;0;1;0;0;0;0;0;0;0;0;0;0;0;0.21237;0.36303;0.10199;1.415591133
4626;77;0.0282;0;0;1;0;0;0;0;0;0;0;0;0;0;0.25481;0.33138;0.06024;1.300211911
4626;78;0.05343;0;0;0;1;0;0;0;0;0;0;0;0;0;0.33394;0.30521;0.10879;1.335117165
4626;79;0.06903;0;0;0;0;1;0;0;0;0;0;0;0;0;0.57564;0.33364;0.18243;1.717714402
4626;80;0.09916;0;0;0;0;0;1;0;0;0;0;0;0;0;0.4742;0.27315;0.19417;1.613972243
4626;81;0.06451;0;0;0;0;0;0;1;0;0;0;0;0;0;0.47896;0.32071;0.13927;1.539771532
4626;82;0.0566;0;0;0;0;0;0;0;1;0;0;0;0;0;0.33325;0.25561;0.14872;1.586000321
4626;83;0.06119;0;0;0;0;0;0;0;0;1;0;0;0;0;0.35133;0.19005;0.16438;1.396498816
4626;84;0.03221;0;0;0;0;0;0;0;0;0;1;0;0;0;0.61876;0.20885;-0.07114;1.109570913
4626;85;0.04329;0;0;0;0;0;0;0;0;0;0;1;0;0;0.58871;0.18558;-0.06121;1.378682681
4626;86;0.05487;0;0;0;0;0;0;0;0;0;0;0;1;0;0.53548;0.39428;0.15698;1.449351517
4626;87;0.03957;0;0;0;0;0;0;0;0;0;0;0;0;1;0.46794;0.3183;0.09196;1.404094068
4816;74;0.03328;0;0;0;0;0;0;0;0;0;0;0;0;0;0.57439;0.10808;0.19479;1.386396226
4816;75;0.04459;1;0;0;0;0;0;0;0;0;0;0;0;0;0.49929;0.08281;0.21318;1.369339743
4816;76;0.04962;0;1;0;0;0;0;0;0;0;0;0;0;0;0.68077;0.31839;0.22124;1.420706922
4816;77;0.04943;0;0;1;0;0;0;0;0;0;0;0;0;0;0.6767;0.37287;0.20127;1.408452085
4816;78;0.04016;0;0;0;1;0;0;0;0;0;0;0;0;0;1.06694;0.27256;0.23987;1.563352393
4816;79;0.04502;0;0;0;0;1;0;0;0;0;0;0;0;0;1.36055;0.36353;0.24811;1.532467927
4816;80;0.04175;0;0;0;0;0;1;0;0;0;0;0;0;0;1.26509;0.3758;0.23975;1.512063166
4816;81;0.03634;0;0;0;0;0;0;1;0;0;0;0;0;0;2.37406;0.24777;0.27017;1.604383446
4816;82;0.04635;0;0;0;0;0;0;0;1;0;0;0;0;0;1.83971;0.26773;0.30126;1.651688319
4816;83;0.034;0;0;0;0;0;0;0;0;1;0;0;0;0;1.87028;0.24713;0.25683;1.612002418
4816;84;0.03965;0;0;0;0;0;0;0;0;0;1;0;0;0;2.25776;0.09914;0.35214;1.926750221
4816;85;0.06241;0;0;0;0;0;0;0;0;0;0;1;0;0;1.2408;0.17836;0.23726;1.567747293
4816;86;0.02184;0;0;0;0;0;0;0;0;0;0;0;1;0;1.31677;0.31589;0.1682;1.294647629
4816;87;0.03667;0;0;0;0;0;0;0;0;0;0;0;0;1;1.01914;0.36117;0.11353;1.371659373
6284;74;0.13859;0;0;0;0;0;0;0;0;0;0;0;0;0;0.20362;0.44911;0.11017;1.709079457
6284;75;0.01067;1;0;0;0;0;0;0;0;0;0;0;0;0;0.12524;0.53253;0.13312;1.803539019
6284;76;0.04;0;1;0;0;0;0;0;0;0;0;0;0;0;0.26846;0.29483;0.09866;1.914631022
6284;77;0.0256;0;0;1;0;0;0;0;0;0;0;0;0;0;0.27896;0.12836;0.10126;1.786460126
6284;78;0.11396;0;0;0;1;0;0;0;0;0;0;0;0;0;0.27108;0.14065;0.12536;1.808904628
6284;79;0.14384;0;0;0;0;1;0;0;0;0;0;0;0;0;0.2375;0.09438;0.10665;1.692660469
6284;80;0.07883;0;0;0;0;0;1;0;0;0;0;0;0;0;0.21397;0.2396;0.1221;1.546436917
6284;81;0.21351;0;0;0;0;0;0;1;0;0;0;0;0;0;0.2403;0.15638;0.1006;1.436732203
6284;82;0.03789;0;0;0;0;0;0;0;1;0;0;0;0;0;0.1937;0.20988;0.0532;1.150474859
6284;83;0.03311;0;0;0;0;0;0;0;0;1;0;0;0;0;0.36937;0.17387;0.09712;1.155018076
6284;84;0.18713;0;0;0;0;0;0;0;0;0;1;0;0;0;0.65438;0.16826;0.15697;1.493697317
6284;85;0.03693;0;0;0;0;0;0;0;0;0;0;1;0;0;0.48765;0.32892;0.19795;1.501788001
6284;86;0.2297;0;0;0;0;0;0;0;0;0;0;0;1;0;0.76013;0.23479;0.2045;1.725400189
6284;87;0.06914;0;0;0;0;0;0;0;0;0;0;0;0;1;1.25991;0.67916;0.18577;1.798565115
7500;74;0.04018;0;0;0;0;0;0;0;0;0;0;0;0;0;1.1925;0.2194;0.16498;2.421414544
7500;75;0.0483;1;0;0;0;0;0;0;0;0;0;0;0;0;0.32189;0.15001;0.15299;2.384614792
7500;76;0.02385;0;1;0;0;0;0;0;0;0;0;0;0;0;0.89409;0.1318;0.19803;2.511677944
7500;77;0.02889;0;0;1;0;0;0;0;0;0;0;0;0;0;0.84918;0.36087;0.1688;1.611324124
7500;78;0.02646;0;0;0;1;0;0;0;0;0;0;0;0;0;0.48853;0.30468;0.09587;2.131348398
7500;79;0.06438;0;0;0;0;1;0;0;0;0;0;0;0;0;0.44053;0.16903;0.013;2.004385895
7500;80;0.02845;0;0;0;0;0;1;0;0;0;0;0;0;0;0.89444;0.06222;0.06764;1.639276547
7500;81;0.03069;0;0;0;0;0;0;1;0;0;0;0;0;0;1.34793;0.16894;0.12002;1.551650879
7500;82;0.00345;0;0;0;0;0;0;0;1;0;0;0;0;0;0.70084;0.05736;0.06883;1.445829135
7500;83;0.0047;0;0;0;0;0;0;0;0;1;0;0;0;0;1.40078;0.07655;0.048;0.409919412
7500;84;0.00682;0;0;0;0;0;0;0;0;0;1;0;0;0;2.02779;0.08661;0.10669;0.474078253
7500;85;0.00489;0;0;0;0;0;0;0;0;0;0;1;0;0;1.57255;0.08949;0.08752;0.481199498
7500;86;0.00449;0;0;0;0;0;0;0;0;0;0;0;1;0;1.33868;0.09409;0.07852;0.635585498
7500;87;0.0022;0;0;0;0;0;0;0;0;0;0;0;0;1;1.35293;0.09079;0.02952;0.49522689
8878;74;0.03532;0;0;0;0;0;0;0;0;0;0;0;0;0;0.23689;0.26789;0.11249;0.857151875
8878;75;0.04337;1;0;0;0;0;0;0;0;0;0;0;0;0;0.1225;0.22934;0.11562;0.831887235
8878;76;0.04259;0;1;0;0;0;0;0;0;0;0;0;0;0;0.19967;0.32489;0.09607;0.934521381
8878;77;0.05026;0;0;1;0;0;0;0;0;0;0;0;0;0;0.19823;0.20158;0.05284;0.88988332
8878;78;0.02076;0;0;0;1;0;0;0;0;0;0;0;0;0;0.19423;0.15168;0.03306;0.772394581
8878;79;0.03744;0;0;0;0;1;0;0;0;0;0;0;0;0;0.30108;0.21573;-0.09045;1.313881582
8878;80;0.07065;0;0;0;0;0;1;0;0;0;0;0;0;0;0.30849;0.22477;0.0645;1.627599575
8878;81;0.07672;0;0;0;0;0;0;1;0;0;0;0;0;0;0.64076;0.18308;0.18854;1.80888518
8878;82;0.03891;0;0;0;0;0;0;0;1;0;0;0;0;0;0.28718;0.15013;-0.03661;1.276625158
8878;83;0.05753;0;0;0;0;0;0;0;0;1;0;0;0;0;0.31442;0.11529;-0.06147;1.140719565
8878;84;0.06058;0;0;0;0;0;0;0;0;0;1;0;0;0;0.45301;0.10089;0.01746;1.111716379
8878;85;0.01251;0;0;0;0;0;0;0;0;0;0;1;0;0;0.30808;0.08036;0.00207;1.196319075
8878;86;0.04909;0;0;0;0;0;0;0;0;0;0;0;1;0;0.38122;0.07484;0.0887;1.454497613
8878;87;0.02768;0;0;0;0;0;0;0;0;0;0;0;0;1;0.44512;0.04973;0.05074;1.255903158
9158;74;0.1897;0;0;0;0;0;0;0;0;0;0;0;0;0;1.21006;0.27432;0.16437;0.771376469
9158;75;0.1933;1;0;0;0;0;0;0;0;0;0;0;0;0;0.84964;0.31504;0.20321;0.915530018
9158;76;0.16122;0;1;0;0;0;0;0;0;0;0;0;0;0;1.00939;0.28646;0.21149;0.895008571
9158;77;0.11991;0;0;1;0;0;0;0;0;0;0;0;0;0;0.99788;0.26644;0.19269;0.822216377
9158;78;0.14426;0;0;0;1;0;0;0;0;0;0;0;0;0;0.58191;0.24371;0.18583;0.796459909
9158;79;0.14679;0;0;0;0;1;0;0;0;0;0;0;0;0;0.57926;0.19718;0.17393;0.750061341
9158;80;0.16674;0;0;0;0;0;1;0;0;0;0;0;0;0;0.55648;0.20589;0.16094;0.733733644
9158;81;0.13424;0;0;0;0;0;0;1;0;0;0;0;0;0;0.641;0.22739;0.13377;0.65079764
